,links,images,brands,price,rating,catogory
22,https://www.flipkart.com/sunny-handcraft-work-embroidered-banarasi-pure-silk-saree/p/itm3a07596ac9f67?pid=SARFXFN85MGC7YEN&lid=LSTSARFXFN85MGC7YEN1W087A&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_23&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARFXFN85MGC7YEN.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/kgwld3k0-0/sari/y/k/h/free-m0055-sunny-handcraft-work-semi-stitched-original-imafxfn7z9fuyzsu.jpeg?q=50,sunny handcraft work ,"₹3,999",3.3,saree
23,https://www.flipkart.com/crochetin-woven-handloom-pure-cotton-saree/p/itm0ce017d82f276?pid=SARGY6GZTYSF2TQZ&lid=LSTSARGY6GZTYSF2TQZPHF3HH&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_24&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARGY6GZTYSF2TQZ.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/kkyc9zk0/sari/e/r/f/free-g1165-crochetin-unstitched-original-imagy6gnx9zjjnwc.jpeg?q=50,crochetin ,"₹3,869",4.1,saree
24,https://www.flipkart.com/suta-color-block-daily-wear-cotton-blend-saree/p/itmb2ff84fb80cc0?pid=SARG5MEECXWHGZHS&lid=LSTSARG5MEECXWHGZHSWCNK04&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_25&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARG5MEECXWHGZHS.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/krxtrww0/sari/c/2/5/free-13919256-suta-no-blouse-original-imag5meehfxv6ymn.jpeg?q=50,Suta ,"₹3,745",4.3,saree
25,https://www.flipkart.com/m-s-retail-woven-banarasi-silk-blend-saree/p/itm53451413635d2?pid=SARFAXPWERDAPBE6&lid=LSTSARFAXPWERDAPBE6UHCA6U&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_26&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARFAXPWERDAPBE6.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/jpzstjk0/sari/b/e/6/free-ac-rl-5012-m-s-retail-original-imafaxn9nuchvhnb.jpeg?q=50,M.S.RETAIL ,"₹3,735",3.8,saree
26,https://www.flipkart.com/crochetin-woven-kalamkari-cotton-linen-saree/p/itm25bc6021eccb8?pid=SARG6JKZFFJBYQT7&lid=LSTSARG6JKZFFJBYQT7UPHP7F&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_27&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARG6JKZFFJBYQT7.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/kt4ozgw0/sari/o/k/a/free-a1105-crochetin-unstitched-original-imag6jkzff7uxfba.jpeg?q=50,crochetin ,"₹3,725",3.3,saree
27,https://www.flipkart.com/crochetin-woven-phulia-cotton-linen-saree/p/itm63378e70a7b61?pid=SARFF98XTTKNV2H5&lid=LSTSARFF98XTTKNV2H5GAY12M&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_28&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARFF98XTTKNV2H5.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/jc299jk0/sari/2/h/5/free-e1129-crochetin-original-imaff9f8xwg43hqv.jpeg?q=50,crochetin ,"₹3,659",3.6,saree
28,https://www.flipkart.com/m-s-retail-embroidered-fashion-georgette-saree/p/itmaee7c8ed7d475?pid=SARG2G7MC6N8TXTJ&lid=LSTSARG2G7MC6N8TXTJP0WUUA&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_29&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARG2G7MC6N8TXTJ.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/kq8dua80/sari/y/j/l/free-hm-w-1012-m-s-retail-unstitched-original-imag4akdzevtkxhu.jpeg?q=50,M.S.RETAIL ,"₹3,634",3.6,saree
29,https://www.flipkart.com/m-s-retail-embroidered-fashion-georgette-saree/p/itm768d55d7de419?pid=SARG6AEHKRFZFKGX&lid=LSTSARG6AEHKRFZFKGXN7HEOW&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_30&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARG6AEHKRFZFKGX.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/kst9gnk0/sari/m/5/w/free-hm-w-1005-m-s-retail-unstitched-original-imag6aekhzkhnkuf.jpeg?q=50,M.S.RETAIL ,"₹3,634",3.6,saree
30,https://www.flipkart.com/ada-embroidered-lucknow-chikankari-handloom-georgette-saree/p/itm18352f2e72441?pid=SAREYEGT74RUZHVR&lid=LSTSAREYEGT74RUZHVR0HDHPM&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_31&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SAREYEGT74RUZHVR.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/kflftzk0-0/sari/q/5/3/free-pink-a219455-ada-unstitched-original-imafwyxgjbudfuhs.jpeg?q=50,ada ,"₹3,590",4,saree
31,https://www.flipkart.com/crochetin-woven-tangail-tussar-silk-saree/p/itm981164c46eccf?pid=SARFGXGWMSEFGHSP&lid=LSTSARFGXGWMSEFGHSP3XOFJP&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_32&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARFGXGWMSEFGHSP.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/jyrl4sw0/sari/h/s/p/free-p1044-crochetin-original-imafgxgegqzcuna2.jpeg?q=50,crochetin ,"₹3,563",4,saree
